==================
(36,29)
(35,29)
(34,29)
(33,30)
(32,30)
(31,31)
(30,32)
(29,32)
(28,33)
(27,34)
(27,35)
(26,36)
(25,37)
(25,38)
(24,39)
(24,40)
(24,41)
(23,42)
(23,43)
(23,44)
(23,45)
(23,46)
(23,47)
(23,48)
(23,49)
(24,50)
(24,51)
(24,52)
(25,53)
(25,54)
(26,55)
(27,56)
(28,57)
(29,58)
(30,59)
(31,60)
(32,61)
(33,61)
(34,61)
(35,62)
(36,62)
(37,62)
(38,62)
(39,62)
(40,62)
(41,62)
(42,62)
(43,62)
(44,62)
(45,62)
(46,61)
(47,61)
(48,60)
(49,60)
(50,59)
(51,58)
(52,57)
(53,56)
(54,55)
(55,54)
(55,53)
(56,52)
(56,51)
(56,50)
(57,49)
(57,48)
(57,47)
(57,46)
(57,45)
(57,44)
(57,43)
(57,42)
(56,41)
(56,40)
(56,39)
(55,38)
(55,37)
(54,36)
(53,35)
(52,34)
(52,33)
(51,32)
(50,32)
(49,31)
(48,30)
(47,30)
(46,29)
(45,29)
(44,29)
(43,29)
(42,28)
(41,28)
(40,28)
(39,28)
(38,28)
(37,29)
==================
(152,39)
(151,39)
(150,40)
(149,40)
(148,41)
(147,42)
(146,43)
(145,44)
(144,45)
(144,46)
(144,47)
(143,48)
(143,49)
(143,50)
(143,51)
(143,52)
(143,53)
(142,54)
(142,55)
(142,56)
(143,57)
(143,58)
(143,59)
(144,60)
(144,61)
(145,62)
(145,63)
(146,64)
(147,65)
(148,66)
(149,67)
(150,67)
(151,68)
(152,68)
(153,68)
(154,68)
(155,69)
(156,69)
(157,69)
(158,69)
(159,69)
(160,69)
(161,69)
(162,69)
(163,70)
(164,70)
(165,70)
(166,70)
(167,70)
(168,69)
(169,69)
(170,69)
(171,69)
(172,68)
(173,68)
(174,68)
(175,68)
(176,67)
(177,67)
(178,67)
(179,66)
(180,66)
(181,65)
(182,65)
(183,64)
(184,64)
(185,64)
(186,63)
(187,63)
(188,62)
(189,62)
(190,61)
(191,61)
(192,61)
(193,61)
(194,60)
(195,60)
(196,59)
(197,59)
(198,58)
(198,57)
(199,56)
(199,55)
(199,54)
(199,53)
(199,52)
(199,51)
(200,50)
(200,49)
(200,48)
(200,47)
(200,46)
(200,45)
(200,44)
(200,43)
(200,42)
(199,41)
(198,40)
(197,39)
(196,39)
(195,39)
(194,38)
(193,38)
(192,38)
(191,38)
(190,38)
(189,38)
(188,38)
(187,38)
(186,38)
(185,38)
(184,38)
(183,38)
(182,38)
(181,38)
(180,38)
(179,38)
(178,38)
(177,38)
(176,38)
(175,38)
(174,38)
(173,38)
(172,38)
(171,38)
(170,38)
(169,38)
(168,38)
(167,38)
(166,38)
(165,38)
(164,38)
(163,38)
(162,38)
(161,38)
(160,38)
(159,38)
(158,38)
(157,38)
(156,38)
(155,38)
(154,38)
(153,39)
==================
(251,79)
(251,80)
(251,81)
(251,82)
(251,83)
(251,84)
(251,85)
(251,86)
(251,87)
(251,88)
(251,89)
(251,90)
(251,91)
(251,92)
(251,93)
(251,94)
(251,95)
(251,96)
(251,97)
(251,98)
(251,99)
(251,100)
(251,101)
(251,102)
(251,103)
(251,104)
(251,105)
(251,106)
(251,107)
(251,108)
(251,109)
(251,110)
(251,111)
(251,112)
(251,113)
(251,114)
(251,115)
(251,116)
(251,117)
(251,118)
(251,119)
(251,120)
(251,121)
(251,122)
(251,123)
(251,124)
(251,125)
(251,126)
(251,127)
(251,128)
(251,129)
(251,130)
(251,131)
(251,132)
(251,133)
